,stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
490000235X.link:834,490000235X.link:834,Tottenham Court Road Station (Stop X),51.51668665008945,-0.12807067447704024,,,,,,,,,,
490000235YB.link:574,490000235YB.link:574,Oxford Street  Soho Street (Stop YB),51.51609962502822,-0.13401877849253999,,,,,,,,,,
490014214HE.link:3154,490014214HE.link:3154,Wardour Street (Stop OM),51.515924618794216,-0.1353668028326713,,,,,,,,,,
490010689KB.link:981,490010689KB.link:981,Great Titchfield Street  Oxford Circus Station (Stop OP),51.515473603204484,-0.1398678809815322,,,,,,,,,,
490015196OG.link:2954,490015196OG.link:2954,Holles Street (Stop OG),51.51586660610369,-0.14479494823545708,,,,,,,,,,
490010689OJ.link:1787,490010689OJ.link:1787,Great Titchfield Street  Oxford Circus Station (Stop OJ),51.515676608851415,-0.13897986315923702,,,,,,,,,,
490000235V.link:3140,490000235V.link:3140,Tottenham Court Road Station (Stop V),51.51638163555798,-0.13190374000869473,,,,,,,,,,
490000235P.link:15,490000235P.link:15,Tottenham Court Road Station  New Oxford Street (Stop Y),51.51676365146555,-0.12826967609244316,,,,,,,,,,
490015042U.link:796,490015042U.link:796,Warren Street Stn  Euston Rd (Stop U),51.5258078489723,-0.13842264298551984,,,,,,,,,,
490000078Q.link:1239,490000078Q.link:1239,Euston Square (Stop Q),51.52560184856238,-0.1368016219470162,,,,,,,,,,
490000252X.link:2637,490000252X.link:2637,Warren Street Station (Stop X),51.52411481065366,-0.13759766517310326,,,,,,,,,,
490000235Z.link:15,490000235Z.link:15,New Oxford Street (Stop Z),51.51672865037164,-0.12841567903317377,,,,,,,,,,
490005084Z.link:2918,490005084Z.link:2918,Goodge Street Station,51.52057773255942,-0.13415268813818101,,,,,,,,,,
490007807E.link:1154,490007807E.link:1154,Harley Street (Stop M),51.52336676415685,-0.14949286197617226,,,,,,,,,,
490000173W.link:1868,490000173W.link:1868,Oxford Street  John Lewis (Stop OV),51.51484058286645,-0.14489497200651558,,,,,,,,,,
490000252E.link:1198,490000252E.link:1198,Warren Street Station (Stop Y),51.52529684147867,-0.13669862649718062,,,,,,,,,,
490015196OF.link:1311,490015196OF.link:1311,Oxford Circus Station  John Lewis (Stop OF),51.5149935865483,-0.14470096568852783,,,,,,,,,,
490007807W.link:2922,490007807W.link:2922,Harley Street (Stop L),51.52316875980987,-0.14951486642561065,,,,,,,,,,
490000252KA.link:1437,490000252KA.link:1437,Warren Street Station (Stop KA),51.524919824915045,-0.1394676767117249,,,,,,,,,,
490000091G.link:1242,490000091G.link:1242,Great Portland Street (Stop G),51.5239087901439,-0.1438197642881821,,,,,,,,,,
490000235C.link:3068,490000235C.link:3068,Tottenham Court Road Station (Stop C),51.517678666883505,-0.13148970796303547,,,,,,,,,,
4900020147W.link:3328,4900020147W.link:3328,University College Hosp Warren Street Stn (Stop W),51.52522483985004,-0.13665862740831866,,,,,,,,,,
4900020147W.link:2634,4900020147W.link:2634,University College Hosp Warren Street Stn (Stop W),51.52522483985004,-0.13665862740831866,,,,,,,,,,
490010531OS.link:1868,490010531OS.link:1868,New Bond Street (Stop OS),51.51465757693775,-0.14638699915481793,,,,,,,,,,
490000173RG.link:2614,490000173RG.link:2614,Oxford Circus (Stop RG),51.51459258123593,-0.14161892644505233,,,,,,,,,,
490000252E.link:1239,490000252E.link:1239,Warren Street Station (Stop Y),51.52529684147867,-0.13669862649718062,,,,,,,,,,
490000191B.link:305,490000191B.link:305,Regent's Park (Stop B),51.52362577698657,-0.14655581187102612,,,,,,,,,,
490000173Z.link:3041,490000173Z.link:3041,Oxford Circus (Stop OH),51.515290594562536,-0.1436079424141366,,,,,,,,,,
490000173N.link:1506,490000173N.link:1506,Margaret Street Oxford Circus (Stop RE),51.516076613882404,-0.14227890528852855,,,,,,,,,,
490015042T.link:622,490015042T.link:622,Drummond Street (Stop T),51.52585784940859,-0.13869464622640812,,,,,,,,,,
490002121ZT.link:916,490002121ZT.link:916,Capper Street (Stop N),51.52256977712399,-0.13603167399082655,,,,,,,,,,
490000173RC.link:3352,490000173RC.link:3352,Oxford Circus (Stop RC),51.514489578614345,-0.14186793248869087,,,,,,,,,,
490000252X.link:86,490000252X.link:86,Warren Street Station (Stop X),51.52411481065366,-0.13759766517310326,,,,,,,,,,
490000078Q.link:2725,490000078Q.link:2725,Euston Square (Stop Q),51.52560184856238,-0.1368016219470162,,,,,,,,,,
490000089A.link:823,490000089A.link:823,Goodge Street Station (Stop A),51.52113174425364,-0.13499568869988746,,,,,,,,,,
490000173JB.link:1663,490000173JB.link:1663,John Princes St Oxford Circus (Stop JB),51.515927609522635,-0.14310692110344597,,,,,,,,,,
490000091H.link:1912,490000091H.link:1912,Great Portland Street (Stop H),51.52402679525114,-0.14286274723702788,,,,,,,,,,
490000078P.link:1383,490000078P.link:1383,Euston Square (Stop P),51.52569785516275,-0.1352845971406226,,,,,,,,,,
490000173OQ.link:3042,490000173OQ.link:3042,Oxford Circus Station Harewood Place (Stop OQ),51.514867584818475,-0.14378395420524956,,,,,,,,,,
490000173JC.link:1792,490000173JC.link:1792,John Princes St Oxford Circus (Stop JC),51.515508600496844,-0.14276292475394844,,,,,,,,,,
490002124ZZ.link:1172,490002124ZZ.link:1172,Stephen Street (Stop B),51.51807567661106,-0.13153070057953403,,,,,,,,,,
490000252V.link:1182,490000252V.link:1182,Warren Street Station (Stop V),51.52457981775862,-0.1391356788090482,,,,,,,,,,
490010531W.link:1867,490010531W.link:1867,New Bond Street (Stop OE),51.51481358080924,-0.146091991153698,,,,,,,,,,
490000191A.link:2354,490000191A.link:2354,Regent's Park (Stop A),51.523759778909834,-0.14698281557879306,,,,,,,,,,
490004695A.link:3017,490004695A.link:3017,Denmark Street (Stop A),51.51434059306236,-0.12975274593592936,,,,,,,,,,
9400ZZLUOXC4,9400ZZLUOXC4,Oxford Circus Underground Station,51.515698605466554,-0.14219391198833653,,,,,,,,,,
490014214HE,490014214HE,Wardour Street (Stop OM),51.515924618794216,-0.1353668028326713,,,,,,,,,,
490000235C,490000235C,Tottenham Court Road Station (Stop C),51.517678666883505,-0.13148970796303547,,,,,,,,,,
490000252S,490000252S,Drummond Street (Stop S),51.52594985180222,-0.1386326436312539,,,,,,,,,,
490000173RC,490000173RC,Oxford Circus (Stop RC),51.514489578614345,-0.14186793248869087,,,,,,,,,,
490000252X,490000252X,Warren Street Station (Stop X),51.52411481065366,-0.13759766517310326,,,,,,,,,,
490000078P,490000078P,Euston Square (Stop P),51.52569785516275,-0.1352845971406226,,,,,,,,,,
9400ZZLUWRR1,9400ZZLUWRR1,Warren Street Underground Station,51.52433181550783,-0.13773266265016076,,,,,,,,,,
490002121ZT,490002121ZT,Capper Street (Stop N),51.52256977712399,-0.13603167399082655,,,,,,,,,,
490004695A,490004695A,Denmark Street (Stop A),51.51434059306236,-0.12975274593592936,,,,,,,,,,
490000252R,490000252R,Warren Street Stn  Euston Rd (Stop R),51.52573584730875,-0.13839664387969494,,,,,,,,,,
490013600C,490013600C,Albany Street (Stop C),51.52436579903218,-0.14440676366847618,,,,,,,,,,
490000173RD,490000173RD,Margaret Street Oxford Circus (Stop RD),51.516965633419225,-0.1426898926665296,,,,,,,,,,
9400ZZLUOXC1,9400ZZLUOXC1,Oxford Circus Underground Station,51.515378599319284,-0.141312905194397,,,,,,,,,,
490000078Q,490000078Q,Euston Square (Stop Q),51.52560184856238,-0.1368016219470162,,,,,,,,,,
9400ZZLUOXC5,9400ZZLUOXC5,Oxford Circus Underground Station,51.51538659963965,-0.14119690324082956,,,,,,,,,,
490019675D,490019675D,Euston Road (Stop D),51.5252058190435,-0.14405474071820631,,,,,,,,,,
490000089A,490000089A,Goodge Street Station (Stop A),51.52113174425364,-0.13499568869988746,,,,,,,,,,
490002124ZZ,490002124ZZ,Stephen Street (Stop B),51.51807567661106,-0.13153070057953403,,,,,,,,,,
490000191B,490000191B,Regent's Park (Stop B),51.52362577698657,-0.14655581187102612,,,,,,,,,,
490010689OJ,490010689OJ,Great Titchfield Street  Oxford Circus Station (Stop OJ),51.515676608851415,-0.13897986315923702,,,,,,,,,,
490000091G,490000091G,Great Portland Street (Stop G),51.5239087901439,-0.1438197642881821,,,,,,,,,,
490000252V,490000252V,Warren Street Station (Stop V),51.52457981775862,-0.1391356788090482,,,,,,,,,,
9400ZZLUOXC3,9400ZZLUOXC3,Oxford Circus Underground Station,51.51572160617831,-0.14203390904902574,,,,,,,,,,
9400ZZLUTCR1,9400ZZLUTCR1,Tottenham Court Road Underground Station,51.516408636967796,-0.13149873317662528,,,,,,,,,,
490000191A,490000191A,Regent's Park (Stop A),51.523759778909834,-0.14698281557879306,,,,,,,,,,
490000173N,490000173N,Margaret Street Oxford Circus (Stop RE),51.516076613882404,-0.14227890528852855,,,,,,,,,,
490000173JC,490000173JC,John Princes St Oxford Circus (Stop JC),51.515508600496844,-0.14276292475394844,,,,,,,,,,
490010198W,490010198W,New Cavendish Street,51.519879698383264,-0.14381084849043763,,,,,,,,,,
9400ZZLUWRR3,9400ZZLUWRR3,Warren Street Underground Station,51.524087807373135,-0.13863668157152706,,,,,,,,,,
490000173RG,490000173RG,Oxford Circus (Stop RG),51.51459258123593,-0.14161892644505233,,,,,,,,,,
490000173W,490000173W,Oxford Street  John Lewis (Stop OV),51.51484058286645,-0.14489497200651558,,,,,,,,,,
490011126K,490011126K,Portland Place (Stop K),51.520577711484556,-0.14530985658007683,,,,,,,,,,
9400ZZLURGP1,9400ZZLURGP1,Regent's Park Underground Station,51.52315276719961,-0.14624281697677757,,,,,,,,,,
490015042U,490015042U,Warren Street Stn  Euston Rd (Stop U),51.5258078489723,-0.13842264298551984,,,,,,,,,,
490010531W,490010531W,New Bond Street (Stop OE),51.51481358080924,-0.146091991153698,,,,,,,,,,
490000235Z,490000235Z,New Oxford Street (Stop Z),51.51672865037164,-0.12841567903317377,,,,,,,,,,
490000235W1,490000235W1,Tottenham Court Road Station (Stop S),51.5155506232689,-0.12843470195304396,,,,,,,,,,
490000091E,490000091E,Great Portland Street (Stop E),51.52297376872352,-0.14387178465454573,,,,,,,,,,
490000235N,490000235N,Tottenham Court Road Station (Stop T),51.51602363364241,-0.1286896968470267,,,,,,,,,,
490000235V,490000235V,Tottenham Court Road Station (Stop V),51.51638163555798,-0.13190374000869473,,,,,,,,,,
9400ZZLURGP2,9400ZZLURGP2,Regent's Park Underground Station,51.52309176589955,-0.14621681785431898,,,,,,,,,,
490010531OS,490010531OS,New Bond Street (Stop OS),51.51465757693775,-0.14638699915481793,,,,,,,,,,
490000173OQ,490000173OQ,Oxford Circus Station Harewood Place (Stop OQ),51.514867584818475,-0.14378395420524956,,,,,,,,,,
9400ZZLUWRR4,9400ZZLUWRR4,Warren Street Underground Station,51.52403480603478,-0.13866768316095993,,,,,,,,,,
490000235YB,490000235YB,Oxford Street  Soho Street (Stop YB),51.51609962502822,-0.13401877849253999,,,,,,,,,,
490015042T,490015042T,Drummond Street (Stop T),51.52585784940859,-0.13869464622640812,,,,,,,,,,
490000235P,490000235P,Tottenham Court Road Station  New Oxford Street (Stop Y),51.51676365146555,-0.12826967609244316,,,,,,,,,,
490015196OG,490015196OG,Holles Street (Stop OG),51.51586660610369,-0.14479494823545708,,,,,,,,,,
490000091H,490000091H,Great Portland Street (Stop H),51.52402679525114,-0.14286274723702788,,,,,,,,,,
490000173RF,490000173RF,Oxford Circus Stn Margaret St (Stop RF),51.51593961092799,-0.14216890650757802,,,,,,,,,,
490015196R,490015196R,Oxford Street  John Lewis (Stop OR),51.51479458137511,-0.14527097883555284,,,,,,,,,,
9400ZZLUTCR4,9400ZZLUTCR4,Tottenham Court Road Underground Station,51.5159436285988,-0.1303497242932027,,,,,,,,,,
9400ZZLUOXC6,9400ZZLUOXC6,Oxford Circus Underground Station,51.515794607792046,-0.14205990790511408,,,,,,,,,,
490010689KB,490010689KB,Great Titchfield Street  Oxford Circus Station (Stop OP),51.515473603204484,-0.1398678809815322,,,,,,,,,,
490000356NE,490000356NE,Tottenham Court Road  Great Russell Street,51.517335661675254,-0.12987468991631437,,,,,,,,,,
490015196N,490015196N,Holles Street,51.51532859430426,-0.1445289557894036,,,,,,,,,,
490007807W,490007807W,Harley Street (Stop L),51.52316875980987,-0.14951486642561065,,,,,,,,,,
490015196OF,490015196OF,Oxford Circus Station  John Lewis (Stop OF),51.5149935865483,-0.14470096568852783,,,,,,,,,,
9400ZZLUGPS2,9400ZZLUGPS2,Great Portland Street Underground Station,51.523973791397985,-0.14390976429833907,,,,,,,,,,
9400ZZLUGDG1,9400ZZLUGDG1,Goodge Street Underground Station,51.520673734272684,-0.1344376902569976,,,,,,,,,,
490007807E,490007807E,Harley Street (Stop M),51.52336676415685,-0.14949286197617226,,,,,,,,,,
490000173Z,490000173Z,Oxford Circus (Stop OH),51.515290594562536,-0.1436079424141366,,,,,,,,,,
490000252KA,490000252KA,Warren Street Station (Stop KA),51.524919824915045,-0.1394676767117249,,,,,,,,,,
4900020147W,4900020147W,University College Hosp Warren Street Stn (Stop W),51.52522483985004,-0.13665862740831866,,,,,,,,,,
9400ZZLUESQ2,9400ZZLUESQ2,Euston Square Underground Station,51.525617853126434,-0.13531659901573376,,,,,,,,,,
9400ZZLUTCR3,9400ZZLUTCR3,Tottenham Court Road Underground Station,51.515904627703776,-0.1303517250796931,,,,,,,,,,
490005084Z,490005084Z,Goodge Street Station,51.52057773255942,-0.13415268813818101,,,,,,,,,,
9400ZZLUWRR2,9400ZZLUWRR2,Warren Street Underground Station,51.52427881430538,-0.13770666337248005,,,,,,,,,,
9400ZZLUOXC2,9400ZZLUOXC2,Oxford Circus Underground Station,51.51576060683237,-0.14221991107505785,,,,,,,,,,
9400ZZLUESQ1,9400ZZLUESQ1,Euston Square Underground Station,51.525632853657285,-0.1352575978558881,,,,,,,,,,
490000091F,490000091F,Great Portland Street (Stop F),51.523465778996744,-0.14425578019952573,,,,,,,,,,
490000235X,490000235X,Tottenham Court Road Station (Stop X),51.51668665008945,-0.12807067447704024,,,,,,,,,,
